source_title,year,result,matched_id
膵癌診療ガイドライン 2025年版,2025,MATCHED,GL-JP-000186
男性性機能障害診療ガイドライン2025年版,2025,MATCHED,GL-JP-000185
便失禁診療ガイドライン2024年版 改訂第2版,2024,MATCHED,GL-JP-000205
前立腺がん検診ガイドライン2025年版,2025,MATCHED,GL-JP-000015
経口胆道鏡(POCS)診療ガイドライン,2025,MATCHED,GL-JP-000416
エビデンスに基づいた胆道癌診療ガイドライン改訂第4版,2025,MATCHED,GL-JP-000187
死後画像読影ガイドライン 2025年版,2025,MISSING_RECOVERED,
大腸癌治療ガイドライン医師用 2024年版,2024,MATCHED,GL-JP-000207
がん患者におけるせん妄ガイドライン2025年版,2025,MATCHED,GL-JP-000307
高齢者口腔がん治療ガイドライン,2025,MATCHED,GL-JP-000012
